,cong_position,Retweets,Likes,Incivility,posemo,negemo,anx,anger,sad,is_policy,CAP_Policy,weighted_pol,cat,year,group_status
253,R,0,2,0.05408136,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
254,R,0,1,0.30247128,4.76,0.0,0.0,0.0,0.0,1,P8,,Republican Out-Group,2008,OutGroup
255,R,0,1,0.17336674,0.0,0.0,0.0,0.0,0.0,0,P8,,,2008,NA
256,R,0,2,0.07589106,0.0,0.0,0.0,0.0,0.0,0,P19,,,2008,NA
257,R,0,1,0.13438655,0.0,5.26,0.0,0.0,5.26,1,P8,,,2008,NA
258,R,0,2,0.15498215,4.76,4.76,0.0,4.76,0.0,1,P8,,,2008,NA
259,R,0,5,0.12595975,4.55,4.55,0.0,0.0,4.55,1,P8,,Republican In-Group,2008,InGroup
260,R,0,2,0.085664704,4.35,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
261,R,0,1,0.15591572,0.0,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
262,R,0,0,0.02433913,11.11,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
263,R,0,2,0.32184842,0.0,0.0,0.0,0.0,0.0,0,P8,,,2008,NA
264,R,0,2,0.27259156,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
265,R,0,0,0.109200455,0.0,0.0,0.0,0.0,0.0,0,P19,,Republican In-Group,2008,InGroup
266,R,0,0,0.45793706,0.0,0.0,0.0,0.0,0.0,1,P19,,Republican Out-Group,2008,OutGroup
267,R,0,1,0.3121571,17.39,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
268,R,0,0,0.4386448,4.76,9.52,0.0,0.0,0.0,1,P8,,,2008,NA
269,R,0,1,0.14040253,0.0,0.0,0.0,0.0,0.0,0,P0,,Republican Out-Group,2008,OutGroup
270,R,0,2,0.18621095,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
271,R,0,2,0.10303235,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
272,R,0,2,0.07367323,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
273,R,0,0,0.03136046,14.29,0.0,0.0,0.0,0.0,1,P8,,,2008,NA
274,R,0,2,0.1276438,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
275,R,0,2,0.062137716,7.69,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
276,R,0,0,0.2266466,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
277,R,0,4,0.15182073,0.0,5.26,0.0,0.0,0.0,1,P8,,Republican Out-Group,2008,OutGroup
278,R,0,2,0.047422968,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
279,R,0,0,0.14353324,0.0,0.0,0.0,0.0,0.0,0,P0,,,2008,NA
