,rt_userid,cong_original_ID,overall,max_pol,weighted_pol,weighted_pol_binary,pol_count,congressperson,Incivility,cong_position,is_policy,CAP_Policy,cat
82,102275,29535723173,0.08,-1.0,-0.8571428571428572,-0.6964285714285715,112.0,russfeingold,0.123761915,D,0,0,
83,313074,29535723173,0.07,-1.0,-1.0930232558139534,-0.883720930232558,86.0,russfeingold,0.123761915,D,0,0,
84,1498931,29535723173,0.13,-2.0,-1.2,-0.7866666666666666,75.0,russfeingold,0.123761915,D,0,0,
85,195888,29535723173,0.01,-1.0,-0.75,-0.6785714285714286,84.0,russfeingold,0.123761915,D,0,0,
86,326418,29535723173,0.08,-1.0,-0.9479166666666667,-0.6979166666666666,96.0,russfeingold,0.123761915,D,0,0,
87,339773,29535723173,0.12,-1.0,0.011299435028248647,-0.2090395480225989,177.0,russfeingold,0.123761915,D,0,0,
88,796362,29535723173,0.1,2.0,0.3831168831168831,-0.012987012987012991,154.0,russfeingold,0.123761915,D,0,0,
89,1339782,29535723173,0.05,-1.0,-1.0188679245283019,-0.8301886792452831,53.0,russfeingold,0.123761915,D,0,0,
90,520423,29535723173,0.0,-1.0,-1.05,-0.85,60.0,russfeingold,0.123761915,D,0,0,
91,349941,29535723173,0.12,-1.0,-0.6666666666666667,-0.6363636363636364,33.0,russfeingold,0.123761915,D,0,0,
92,337830,29535723173,0.18,-1.0,-1.0,-1.0,1.0,russfeingold,0.123761915,D,0,0,
93,1201411,29535723173,0.03,-1.0,-0.9770114942528735,-0.7241379310344828,174.0,russfeingold,0.123761915,D,0,0,
94,44059,29535723173,0.15,-1.0,-0.43093922651933697,-0.4088397790055249,543.0,russfeingold,0.123761915,D,0,0,
95,113131,29535723173,0.01,-1.0,-1.2134831460674156,-0.8651685393258427,178.0,russfeingold,0.123761915,D,0,0,
96,469802,29535723173,0.01,-1.0,-1.0,-1.0,1.0,russfeingold,0.123761915,D,0,0,
97,342423,29535723173,0.0,-1.0,-0.7704918032786885,-0.6229508196721312,61.0,russfeingold,0.123761915,D,0,0,
98,1302301,29535723173,0.03,-1.0,-0.7999999999999999,-0.6727272727272727,55.0,russfeingold,0.123761915,D,0,0,
99,1334771,29535723173,0.05,-1.0,-0.8765432098765431,-0.6296296296296295,81.0,russfeingold,0.123761915,D,0,0,
100,748477,29535723173,0.11,-1.0,-1.05,-0.8,20.0,russfeingold,0.123761915,D,0,0,
101,1286471,29535723173,0.02,-1.0,-1.0256410256410258,-0.7435897435897436,39.0,russfeingold,0.123761915,D,0,0,
102,956172,29535723173,0.25,-1.0,-0.743362831858407,-0.6814159292035398,113.0,russfeingold,0.123761915,D,0,0,
103,929887,29535723173,0.02,-1.0,-0.375,-0.5,8.0,russfeingold,0.123761915,D,0,0,
104,364900,29550880350,0.56,,,,,Hanabusa2020,0.16876839,D,0,0,
105,310790,20974065668,0.04,-1.0,0.007042253521126723,-0.13380281690140844,142.0,PaulHodes,0.06572814,D,0,0,
106,153529,21004409172,0.02,-1.0,-0.6402439024390244,-0.6219512195121951,328.0,PaulHodes,0.09624943,D,0,0,
107,575604,29672203263,0.08,-1.0,-1.0394736842105263,-0.8157894736842105,76.0,russfeingold,0.1638296,D,0,0,
108,934987,29672203263,0.08,-1.0,-0.8333333333333334,-0.8333333333333334,12.0,russfeingold,0.1638296,D,0,0,
109,134874,29672203263,0.7,-2.0,-1.53125,-0.9375,32.0,russfeingold,0.1638296,D,0,0,
110,250584,29672203263,0.01,-1.0,-1.028169014084507,-0.8169014084507042,71.0,russfeingold,0.1638296,D,0,0,
111,500527,29672203263,0.05,-2.0,-0.5555555555555556,-0.4444444444444444,18.0,russfeingold,0.1638296,D,0,0,
112,868404,29672203263,0.23,-1.0,-0.75,-0.625,8.0,russfeingold,0.1638296,D,0,0,
113,476319,29672203263,0.22,-1.0,-0.9247787610619469,-0.6814159292035399,226.0,russfeingold,0.1638296,D,0,0,
114,311491,29672203263,0.13,-1.0,-1.0837438423645323,-0.8916256157635468,203.0,russfeingold,0.1638296,D,0,0,
115,664268,26660014931,0.71,0.0,-0.6093366093366095,-0.44799344799344804,1221.0,PaulHodes,0.21764591,D,0,0,
116,1317151,26660014931,0.41,-1.0,-1.0490196078431373,-0.8366013071895425,306.0,PaulHodes,0.21764591,D,0,0,
117,326260,26660014931,0.61,-2.0,-1.3478260869565217,-0.8217391304347826,230.0,PaulHodes,0.21764591,D,0,0,
118,962925,26660014931,0.1,-1.0,-1.0742857142857143,-0.8142857142857143,350.0,PaulHodes,0.21764591,D,0,0,
119,1292371,26660014931,0.04,-1.0,-0.8076923076923077,-0.7692307692307693,26.0,PaulHodes,0.21764591,D,0,0,
120,360195,26711558914,0.27,-1.0,-0.5335689045936396,-0.5441696113074205,283.0,BetsyMarkey,0.07433816,D,0,0,
121,1317151,24287121095,0.41,-1.0,-1.0490196078431373,-0.8366013071895425,306.0,russfeingold,0.10797324,D,0,0,
122,208592,24287121095,0.19,-1.0,-1.0,-0.6776859504132232,121.0,russfeingold,0.10797324,D,0,0,
123,1123156,24287121095,0.37,-1.0,-0.5,-0.6666666666666667,6.0,russfeingold,0.10797324,D,0,0,
